Job,Company,Address,Deadline,URL
Branch Manager,Deva Bikas Bank Limited,"Pokhara, Baneshwor, Mahendranagar, Tandi & Upcoming Branc...",2019-04-02,www.merojobs.com/google/login/?method=oauth2
Trainee Assistant,Siddhartha Bank,Inside and Outside Valley,2019-04-15,www.merojobs.com/operation-manager-82/
Finance Manager/ Finance Analyst,Shivam Plastic Industries,"Biratnagar, Nepal",2019-04-03,www.merojobs.com/branch-manager-87/
Air Ticket Officer (Domestic and International),Trans Holidays Travel and Tours,"Kathmandu, Nepal",2019-04-03,www.merojobs.com/facebook/login/
Hotel Manager,Hotel Darwin,"Nayabazar Marg, Kathmandu",2019-04-05,www.merojobs.com/google/login/?method=oauth2
Hotel Manager,Shaligram Hotel,Jawalakhel,2019-04-05,www.merojobs.com/air-ticket-officer-domestic-and-international-2/
Head Chef and Culinary Instructor,ROKPA Guest House,Pokhara Nepal,2019-04-10,www.merojobs.com/hotel-manager-10/
Assistant Manager,The Nana Hotels,Pokara/,2019-04-07,www.merojobs.com/hotel-manager-13/
Content Writer,Social Media Promotion,"Gairidhara, Kathmandu",2019-04-03,www.merojobs.com/facebook/login/
Sr. Social Media Associate,daraz.com.np,Kathmandu,2019-04-05,www.merojobs.com/google/login/?method=oauth2
Senior Financial Content Writer,IMS Investment Management Services,"Kathmandu, Nepal",2019-04-02,www.merojobs.com/content-writer-200/
Content Writer/Copywriter,ANSSoft Incorporation,"Kathmandu, Nepal",2019-04-07,www.merojobs.com/sr-social-media-associate/
Receptionist/Cashier,Tesla Diagnostic Clinic,"Kathmandu, Nepal",2019-04-08,www.merojobs.com/facebook/login/
Receptionist,ZTE Corporation,"Kathmandu, Nepal",2019-04-06,www.merojobs.com/google/login/?method=oauth2
Front Desk Representative,Hotel Tibet Peace Inn,"Paknajol, Thamel",2019-04-02,www.merojobs.com/receptionistcashier-5/
Executive Assistant,Disaster Hack,"Jhamsikhel, Kathmandu",2019-04-03,www.merojobs.com/receptionist-1096/
CSR / Front Officer- Female,MOBEECO,"Kathmandu, Nepal",2019-04-03,www.merojobs.com/operation-incharge-8/
Production Associate,Asian Paints (Nepal),Hetauda,2019-04-07,www.merojobs.com/facebook/login/
Computer Operator,Nobel Academy Secondary School,"Kathmandu, Nepal",2019-04-02,www.merojobs.com/google/login/?method=oauth2
इलेट्रिकल टेक्निसियन - केही,अप्पर साेलु हाइड्राे इलेक्ट्रीक कम्पनि लि.,"Kathmandu, Nepal",2019-04-12,www.merojobs.com/production-associate/
Graphic Designer,JD Internet ventures,Kathmandu,2019-04-08,www.merojobs.com/facebook/login/
Graphic Designer,KTM CTY,Kathmandu,2019-04-09,www.merojobs.com/google/login/?method=oauth2
Motion Graphic Designer,Social Media Promotion,"Lazimpat, next to Delegation of the European Union",2019-04-03,www.merojobs.com/graphic-designer-600/
InDesign Artist,Makarios,"Naxal, Kathmandu",2019-04-08,www.merojobs.com/graphic-designer-601/
Content Writer,Innovate Nepal Group,"Kathmandu, Nepal",2019-04-05,www.merojobs.com/motion-graphic-designer-2/
Store Head (GM),Jagdamba Steels,"Simara, Bara",2019-04-13,www.merojobs.com/facebook/login/
Procurement Officer,Jagdamba Steels,"Simara, Bara",2019-04-13,www.merojobs.com/google/login/?method=oauth2
Document and Logistic Officer,Bhaktapur NIST School,Bhaktapur,2019-04-05,www.merojobs.com/store-head-gm/
Procurement Officer,A  Reputed Construction Company,Basundhara / Hattigauda,2019-04-04,www.merojobs.com/procurement-officer-82/
Store Keeper,A Reputed Construction Company,Kathmandu,2019-04-04,www.merojobs.com/document-and-logistic-officer/
Education Counsellor,Boomerang International Educational Services,Chitwan,2019-04-11,www.merojobs.com/facebook/login/
Director - Finance,Nepal CRS Company,"Head Office, Tokha- Kathmandu",2019-04-07,www.merojobs.com/google/login/?method=oauth2
Production Associate,Asian Paints (Nepal),Hetauda,2019-04-07,www.merojobs.com/education-counsellor-16/
Sales Assistant,Asian Paints (Nepal),Outside Valley,2019-04-07,www.merojobs.com/director-finance-2/
Road Engineer,Ashish Nirman Sewa,"Kaligandaki Corridor Road Project (Nawalparasi, Palpa)",2019-04-08,www.merojobs.com/facebook/login/
Sub Engineer/Overseer,Ashish Nirman Sewa,"Kaligandaki Corridor Road Project (Nawalparasi, Palpa)",2019-04-08,www.merojobs.com/google/login/?method=oauth2
Supervisor,Ashish Nirman Sewa,"Kaligandaki Corridor Road Project (Nawalparasi, Palpa)",2019-04-08,www.merojobs.com/road-engineer-4/
Road Engineer,Tundi Construction,nuwakot,2019-04-17,www.merojobs.com/sub-engineeroverseer/
Senior Surveyor,Tundi Construction,nuwakot,2019-04-17,www.merojobs.com/supervisor-93/
Preschool Teacher (Female),Ujjwal Tara School,"Pepsicola, Kathmandu, Nepal",2019-04-05,www.merojobs.com/facebook/login/
Primary Level Teachers,Nightingale International Secondary School,Chitwan,2019-04-10,www.merojobs.com/google/login/?method=oauth2
Education Counsellor,Boomerang International Educational Services,Kalikot,2019-04-11,www.merojobs.com/preschool-teacher-female-6/
Education Program Officer,Midas Education,Rukum Paschim,2019-04-09,www.merojobs.com/primary-level-teachers-29/
Study Abroad Counsellor,Lincoln Educational Consultancy,"Dillibazar, Kathmandu",2019-04-02,www.merojobs.com/education-counsellor-16/
Marketing Representative,Tesla Diagnostic Clinic,"Kathmandu, Nepal",2019-04-08,www.merojobs.com/facebook/login/
